neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,instant_bookable,bedrooms,bed_type,beds,cleaning_fee,availability_365,guests_included,extra_people,minimum_nights,cancellation_policy,high_end_electronics,smoke_detector,washing_machine,heating,hair_dryer,hangers,tv,kitchen,workspace,internet,price
Roslindale,Condominium,Private room,1,1.0,f,1.0,Real Bed,1.0,0.0,129,1,0.0,1,flexible,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,55.00000000000002
Roslindale,Apartment,Entire home/apt,6,1.0,t,2.0,Real Bed,2.0,85.0,353,4,20.0,2,strict,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,200.0
Roslindale,Apartment,Entire home/apt,4,1.0,t,1.0,Real Bed,2.0,0.0,17,1,0.0,1,flexible,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,150.0
Roslindale,House,Private room,1,1.0,f,1.0,Real Bed,1.0,0.0,325,1,10.0,5,strict,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,48.99999999999999
Roslindale,House,Private room,1,1.5,f,1.0,Real Bed,1.0,0.0,362,1,0.0,1,flexible,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,75.0
Roslindale,House,Entire home/apt,4,1.0,f,1.0,Real Bed,2.0,25.0,300,2,20.0,3,strict,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,109.99999999999997
Roslindale,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,35.0,351,1,0.0,1,strict,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,114.99999999999999
Roslindale,House,Entire home/apt,16,1.0,f,3.0,Real Bed,5.0,50.0,351,1,25.0,1,strict,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,125.0
Roslindale,House,Entire home/apt,16,2.5,f,3.0,Real Bed,7.0,50.0,343,1,25.0,1,strict,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0
Roslindale,House,Private room,2,2.0,f,1.0,Real Bed,1.0,10.0,361,1,15.0,1,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,75.0
Roslindale,House,Private room,1,1.0,t,1.0,Real Bed,1.0,25.0,339,1,0.0,3,flexible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0
Roslindale,Apartment,Private room,4,1.0,f,1.0,Real Bed,2.0,10.0,0,1,0.0,2,flexible,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,50.0
Roslindale,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,0.0,355,1,10.0,1,flexible,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,60.00000000000001
Roslindale,House,Private room,1,1.5,f,1.0,Real Bed,1.0,0.0,254,1,0.0,2,flexible,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,45.0
Roslindale,House,Entire home/apt,4,1.0,f,2.0,Real Bed,2.0,56.0,306,3,33.0,5,strict,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,145.0
Roslindale,House,Private room,2,2.0,f,1.0,Real Bed,1.0,0.0,133,1,10.0,2,flexible,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,45.0
Roslindale,House,Private room,2,1.5,f,1.0,Real Bed,1.0,10.0,267,1,0.0,1,moderate,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84.99999999999997
Roslindale,House,Private room,1,1.0,f,1.0,Real Bed,1.0,50.0,355,1,25.0,3,strict,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,75.0
Roslindale,House,Private room,2,2.0,f,1.0,Real Bed,1.0,0.0,161,1,10.0,2,flexible,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0
Roslindale,House,Private room,1,2.5,f,1.0,Real Bed,1.0,0.0,260,1,0.0,2,flexible,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,45.0
Roslindale,House,Private room,2,1.0,f,1.0,Real Bed,1.0,0.0,248,2,50.0,2,moderate,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,60.00000000000001
Roslindale,Apartment,Entire home/apt,3,1.0,f,1.0,Real Bed,1.0,35.0,258,1,0.0,1,strict,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,94.99999999999999
Roslindale,Apartment,Entire home/apt,2,1.0,f,0.0,Real Bed,1.0,45.0,348,2,39.0,3,strict,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,89.0
