neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,instant_bookable,bedrooms,bed_type,beds,price,cleaning_fee,availability_365,guests_included,extra_people,minimum_nights,cancellation_policy,high_end_electronics,smoke_detector,washing_machine,heating,hair_dryer,hangers,tv,kitchen,workspace,internet,log_price
Roslindale,House,Entire home/apt,5,3.5,f,4.0,Real Bed,3.0,175.0,100.0,0,1,0.0,14,moderate,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.170483995038151
Roslindale,House,Private room,2,1.5,f,1.0,Real Bed,1.0,95.0,10.0,1,1,0.0,1,moderate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.564348191467836
Roslindale,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,90.0,0.0,122,1,0.0,1,strict,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.51085950651685
Roslindale,House,Private room,2,1.0,f,1.0,Real Bed,1.0,95.0,15.0,107,1,0.0,2,moderate,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.564348191467836
Roslindale,Apartment,Private room,2,1.0,f,1.0,Real Bed,2.0,100.0,0.0,356,1,100.0,1,flexible,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.61512051684126
Roslindale,House,Private room,2,1.0,f,1.0,Real Bed,1.0,67.0,40.0,310,1,5.0,1,flexible,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.219507705176107
Roslindale,Condominium,Private room,1,1.0,f,1.0,Real Bed,1.0,55.0,0.0,129,1,0.0,1,flexible,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.02535169073515
Roslindale,Apartment,Entire home/apt,6,1.0,t,2.0,Real Bed,2.0,200.0,85.0,353,4,20.0,2,strict,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.303304908059076
Roslindale,Apartment,Entire home/apt,4,1.0,t,1.0,Real Bed,2.0,150.0,0.0,17,1,0.0,1,flexible,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,5.017279836814924
Roslindale,House,Private room,1,1.0,f,1.0,Real Bed,1.0,49.0,0.0,325,1,10.0,5,strict,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.912023005428146
Roslindale,House,Private room,1,1.5,f,1.0,Real Bed,1.0,75.0,0.0,362,1,0.0,1,flexible,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.330733340286331
Roslindale,House,Entire home/apt,4,1.0,f,1.0,Real Bed,2.0,110.0,25.0,300,2,20.0,3,strict,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.709530201312334
Roslindale,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,115.0,35.0,351,1,0.0,1,strict,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.7535901911063645
Roslindale,House,Entire home/apt,16,1.0,f,3.0,Real Bed,5.0,125.0,50.0,351,1,25.0,1,strict,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.836281906951478
Roslindale,House,Entire home/apt,16,2.5,f,3.0,Real Bed,7.0,200.0,50.0,343,1,25.0,1,strict,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.303304908059076
Roslindale,House,Private room,2,2.0,f,1.0,Real Bed,1.0,75.0,10.0,361,1,15.0,1,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.330733340286331
Roslindale,House,Private room,1,1.0,t,1.0,Real Bed,1.0,78.0,25.0,339,1,0.0,3,flexible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3694478524670215
Roslindale,Apartment,Private room,4,1.0,f,1.0,Real Bed,2.0,50.0,10.0,0,1,0.0,2,flexible,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.9318256327243257
Roslindale,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,60.0,0.0,355,1,10.0,1,flexible,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.110873864173311
Roslindale,House,Private room,1,1.5,f,1.0,Real Bed,1.0,45.0,0.0,254,1,0.0,2,flexible,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.828641396489095
Roslindale,House,Entire home/apt,4,1.0,f,2.0,Real Bed,2.0,145.0,56.0,306,3,33.0,5,strict,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.983606621708336
Roslindale,House,Private room,2,2.0,f,1.0,Real Bed,1.0,45.0,0.0,133,1,10.0,2,flexible,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.828641396489095
Roslindale,House,Private room,2,1.5,f,1.0,Real Bed,1.0,85.0,10.0,267,1,0.0,1,moderate,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.454347296253507
Roslindale,House,Private room,1,1.0,f,1.0,Real Bed,1.0,75.0,50.0,355,1,25.0,3,strict,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.330733340286331
Roslindale,House,Private room,2,2.0,f,1.0,Real Bed,1.0,50.0,0.0,161,1,10.0,2,flexible,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9318256327243257
Roslindale,House,Private room,1,2.5,f,1.0,Real Bed,1.0,45.0,0.0,260,1,0.0,2,flexible,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.828641396489095
Roslindale,House,Private room,2,1.0,f,1.0,Real Bed,1.0,60.0,0.0,248,2,50.0,2,moderate,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.110873864173311
Roslindale,Apartment,Entire home/apt,3,1.0,f,1.0,Real Bed,1.0,95.0,35.0,258,1,0.0,1,strict,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.564348191467836
Roslindale,Apartment,Entire home/apt,2,1.0,f,0.0,Real Bed,1.0,89.0,45.0,348,2,39.0,3,strict,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.499809670330265
Roslindale,Apartment,Entire home/apt,3,1.0,f,0.0,Real Bed,2.0,110.0,25.0,333,1,25.0,2,flexible,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.709530201312334
Roslindale,Condominium,Private room,2,1.0,f,1.0,Pull-out Sofa,1.0,65.0,20.0,259,1,15.0,1,flexible,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.189654742026425
Roslindale,House,Entire home/apt,7,2.0,f,3.0,Real Bed,3.0,285.0,125.0,331,5,25.0,3,strict,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.655991810819852
Jamaica Plain,Apartment,Entire home/apt,4,1.0,f,1.0,Real Bed,1.0,140.0,125.0,144,4,0.0,3,moderate,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.948759890378168
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,70.0,10.0,328,1,10.0,2,strict,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.262679877041316
Jamaica Plain,House,Private room,2,1.0,f,1.0,Real Bed,1.0,95.0,0.0,365,1,20.0,1,flexible,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.564348191467836
Jamaica Plain,Bed & Breakfast,Private room,2,1.0,f,1.0,Real Bed,1.0,55.0,0.0,0,1,0.0,300,flexible,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.02535169073515
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,80.0,0.0,301,1,0.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.394449154672439
Jamaica Plain,House,Private room,2,1.0,f,1.0,Real Bed,1.0,120.0,0.0,109,1,0.0,2,flexible,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.795790545596741
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,65.0,0.0,0,1,0.0,1,flexible,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.189654742026425
Jamaica Plain,Apartment,Private room,4,1.0,f,1.0,Real Bed,2.0,100.0,0.0,23,2,20.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.61512051684126
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,65.0,0.0,43,1,0.0,3,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.189654742026425
Jamaica Plain,House,Private room,1,1.0,f,1.0,Real Bed,1.0,60.0,0.0,340,1,0.0,2,flexible,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.110873864173311
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,63.0,0.0,0,1,0.0,2,flexible,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.158883083359672
Jamaica Plain,Townhouse,Private room,2,1.0,f,1.0,Real Bed,1.0,75.0,0.0,250,1,0.0,1,flexible,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.330733340286331
Jamaica Plain,House,Private room,2,1.0,f,1.0,Real Bed,1.0,65.0,10.0,0,1,25.0,1,strict,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.189654742026425
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,110.0,0.0,346,1,0.0,1,strict,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.709530201312334
Jamaica Plain,House,Private room,2,1.0,t,1.0,Real Bed,1.0,46.0,50.0,62,2,25.0,2,strict,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.8501476017100575
Jamaica Plain,Apartment,Private room,3,1.0,f,1.0,Real Bed,1.0,75.0,50.0,0,1,0.0,2,strict,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.330733340286331
Jamaica Plain,Apartment,Private room,2,1.5,f,1.0,Real Bed,1.0,62.0,25.0,0,2,50.0,3,moderate,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.143134726391533
Jamaica Plain,Condominium,Private room,2,1.5,f,1.0,Real Bed,1.0,69.0,15.0,15,1,12.0,2,flexible,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.248495242049359
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,69.0,20.0,0,1,15.0,2,moderate,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.248495242049359
Jamaica Plain,House,Private room,2,2.0,f,1.0,Real Bed,1.0,73.0,50.0,78,1,0.0,1,moderate,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.30406509320417
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,85.0,0.0,306,1,20.0,2,strict,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,4.454347296253507
Jamaica Plain,Apartment,Private room,2,2.0,f,1.0,Real Bed,1.0,120.0,80.0,337,1,20.0,1,strict,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.795790545596741
Jamaica Plain,House,Private room,2,3.5,f,1.0,Real Bed,2.0,125.0,0.0,365,1,25.0,2,flexible,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.836281906951478
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Pull-out Sofa,1.0,70.0,0.0,363,1,0.0,1,flexible,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.262679877041316
Jamaica Plain,Condominium,Private room,2,1.0,f,1.0,Real Bed,1.0,100.0,10.0,0,1,0.0,1,flexible,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.61512051684126
Jamaica Plain,Condominium,Private room,2,1.0,f,1.0,Real Bed,1.0,61.0,10.0,255,1,0.0,1,moderate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.127134385045092
Jamaica Plain,House,Private room,4,1.0,f,1.0,Real Bed,2.0,125.0,0.0,328,2,50.0,1,strict,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.836281906951478
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,100.0,0.0,316,1,0.0,1,flexible,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.61512051684126
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,27.0,5.0,0,1,0.0,1,flexible,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.332204510175204
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,80.0,0.0,0,1,0.0,2,flexible,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.394449154672439
Jamaica Plain,House,Private room,2,1.0,f,1.0,Real Bed,1.0,85.0,0.0,365,1,0.0,1,flexible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.454347296253507
Jamaica Plain,House,Private room,3,1.0,f,1.0,Real Bed,2.0,75.0,0.0,358,1,25.0,1,flexible,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.330733340286331
Jamaica Plain,House,Private room,1,1.0,f,1.0,Real Bed,1.0,57.0,0.0,341,1,0.0,7,flexible,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.060443010546419
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,100.0,0.0,0,1,0.0,1,moderate,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.61512051684126
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,40.0,5.0,309,1,0.0,1,flexible,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.713572066704308
Jamaica Plain,House,Private room,1,1.0,f,1.0,Real Bed,1.0,100.0,100.0,279,1,0.0,4,strict,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.61512051684126
Jamaica Plain,House,Private room,2,2.5,f,1.0,Real Bed,1.0,70.0,20.0,333,1,0.0,1,flexible,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.262679877041316
Jamaica Plain,Apartment,Entire home/apt,4,1.0,f,2.0,Real Bed,2.0,190.0,0.0,48,2,15.0,4,moderate,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,5.25227342804663
Jamaica Plain,Apartment,Entire home/apt,3,1.0,f,1.0,Real Bed,1.0,149.0,50.0,333,1,0.0,7,flexible,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.010635294096256
Jamaica Plain,Apartment,Entire home/apt,6,1.0,f,2.0,Real Bed,2.0,168.0,120.0,285,1,0.0,3,moderate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.1298987149230735
Jamaica Plain,House,Entire home/apt,5,2.0,f,3.0,Real Bed,4.0,205.0,50.0,257,1,0.0,2,moderate,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.327876168789581
Jamaica Plain,House,Private room,2,2.5,f,1.0,Real Bed,1.0,65.0,15.0,331,1,0.0,1,flexible,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.189654742026425
Jamaica Plain,Apartment,Entire home/apt,2,1.0,f,1.0,Futon,1.0,75.0,18.0,0,1,0.0,1,flexible,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.330733340286331
Jamaica Plain,Condominium,Entire home/apt,4,1.0,t,2.0,Real Bed,4.0,117.0,15.0,0,1,0.0,1,flexible,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.770684624465665
Jamaica Plain,Apartment,Entire home/apt,8,2.0,f,4.0,Real Bed,6.0,429.0,0.0,331,6,15.0,3,strict,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.063785208687608
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,95.0,0.0,356,1,10.0,2,flexible,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.564348191467836
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,69.0,20.0,0,1,0.0,1,flexible,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.248495242049359
Jamaica Plain,House,Private room,2,1.0,f,1.0,Real Bed,1.0,85.0,0.0,361,1,0.0,1,moderate,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.454347296253507
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Futon,1.0,69.0,30.0,65,1,15.0,3,strict,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.248495242049359
Jamaica Plain,House,Entire home/apt,2,1.0,f,1.0,Real Bed,1.0,165.0,0.0,276,1,0.0,2,flexible,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.111987788356544
Jamaica Plain,Apartment,Entire home/apt,4,1.0,f,2.0,Real Bed,2.0,150.0,50.0,71,4,50.0,5,flexible,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.017279836814924
Jamaica Plain,Condominium,Entire home/apt,7,1.0,t,4.0,Real Bed,4.0,267.0,90.0,348,6,0.0,1,flexible,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.5909869805108565
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,87.0,25.0,74,1,25.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.477336814478207
Jamaica Plain,Townhouse,Private room,2,1.0,t,1.0,Real Bed,1.0,62.0,0.0,2,1,0.0,2,strict,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.143134726391533
Jamaica Plain,Apartment,Entire home/apt,2,1.0,f,1.0,Real Bed,1.0,110.0,40.0,66,2,10.0,2,moderate,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.709530201312334
Jamaica Plain,Apartment,Entire home/apt,6,2.0,f,3.0,Real Bed,3.0,250.0,90.0,197,1,0.0,4,strict,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.525452939131784
Jamaica Plain,Apartment,Entire home/apt,6,1.0,f,2.0,Real Bed,2.0,150.0,200.0,185,2,35.0,2,strict,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.017279836814924
Jamaica Plain,House,Entire home/apt,7,2.0,f,3.0,Real Bed,4.0,300.0,140.0,365,2,50.0,2,flexible,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.707110264748875
Jamaica Plain,Apartment,Entire home/apt,2,1.0,f,0.0,Real Bed,1.0,119.0,35.0,23,1,0.0,1,strict,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.787491742782046
Jamaica Plain,Apartment,Entire home/apt,2,1.0,f,0.0,Real Bed,1.0,175.0,25.0,120,2,0.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.170483995038151
Jamaica Plain,House,Entire home/apt,6,2.0,t,2.0,Real Bed,2.0,195.0,95.0,290,3,25.0,4,strict,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.278114659230517
Jamaica Plain,Condominium,Entire home/apt,4,1.0,f,2.0,Real Bed,2.0,145.0,80.0,0,1,0.0,2,strict,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.983606621708336
Jamaica Plain,Apartment,Entire home/apt,4,1.0,f,2.0,Real Bed,2.0,200.0,50.0,340,1,0.0,2,moderate,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.303304908059076
Jamaica Plain,House,Private room,1,1.0,f,1.0,Futon,1.0,90.0,0.0,339,1,0.0,1,flexible,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.51085950651685
Jamaica Plain,Apartment,Entire home/apt,4,1.0,f,2.0,Real Bed,2.0,210.0,50.0,310,4,50.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.351858133476067
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,75.0,15.0,59,1,15.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.330733340286331
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,46.0,10.0,0,1,0.0,1,flexible,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.8501476017100575
Jamaica Plain,Condominium,Private room,2,1.0,f,1.0,Real Bed,1.0,75.0,0.0,365,1,0.0,2,flexible,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.330733340286331
Jamaica Plain,Apartment,Entire home/apt,6,1.0,t,3.0,Real Bed,3.0,500.0,100.0,364,6,0.0,1,flexible,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,6.2166061010848646
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,60.0,0.0,146,1,0.0,2,strict,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,4.110873864173311
