neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,instant_bookable,bedrooms,bed_type,beds,price,cleaning_fee,availability_365,guests_included,extra_people,security_deposit,minimum_nights,cancellation_policy,breakfast,high_end_electronics,smoke_detector,pets_allowed,secure,washing_machine,heating,Hot_Tub,hair_dryer,hangers,elevator,fire_extinguisher,free_parking,gym,tv,kitchen,workspace,room_key,pool,wheelchair_access,internet,firstAid_kit,log_price
Jamaica Plain,Apartment,Private room,4,1.0,f,1.0,Real Bed,2.0,100.0,0,23,2,20,0,2,moderate,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.61512051684126
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,65.0,0,43,1,0,0,3,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.189654742026425
Jamaica Plain,House,Private room,1,1.0,f,1.0,Real Bed,1.0,60.0,0,340,1,0,0,2,flexible,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.110873864173311
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,63.0,0,0,1,0,0,2,flexible,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.158883083359672
Jamaica Plain,House,Private room,2,1.0,f,1.0,Real Bed,1.0,75.0,0,250,1,0,200,1,flexible,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.330733340286331
Jamaica Plain,House,Private room,2,1.0,f,1.0,Real Bed,1.0,65.0,10,0,1,25,0,1,strict,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.189654742026425
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,110.0,0,346,1,0,0,1,strict,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.709530201312334
Jamaica Plain,House,Private room,2,1.0,t,1.0,Real Bed,1.0,46.0,50,62,2,25,200,2,strict,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.8501476017100575
Jamaica Plain,Apartment,Private room,3,1.0,f,1.0,Real Bed,1.0,75.0,50,0,1,0,300,2,strict,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.330733340286331
Jamaica Plain,Apartment,Private room,2,1.5,f,1.0,Real Bed,1.0,62.0,25,0,2,50,150,3,moderate,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.143134726391533
Jamaica Plain,Other,Private room,2,1.5,f,1.0,Real Bed,1.0,69.0,15,15,1,12,95,2,flexible,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.248495242049359
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,69.0,20,0,1,15,0,2,moderate,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.248495242049359
Jamaica Plain,House,Private room,2,2.0,f,1.0,Real Bed,1.0,73.0,50,78,1,0,0,1,moderate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.30406509320417
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,85.0,0,306,1,20,0,2,strict,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.454347296253507
Jamaica Plain,Apartment,Private room,2,2.0,f,1.0,Real Bed,1.0,120.0,80,337,1,20,500,1,strict,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.795790545596741
Jamaica Plain,House,Private room,2,3.5,f,1.0,Real Bed,2.0,125.0,0,365,1,25,100,2,flexible,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.836281906951478
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Pull-out Sofa,1.0,70.0,0,363,1,0,0,1,flexible,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.262679877041316
Jamaica Plain,Other,Private room,2,1.0,f,1.0,Real Bed,1.0,100.0,10,0,1,0,95,1,flexible,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.61512051684126
Jamaica Plain,Other,Private room,2,1.0,f,1.0,Real Bed,1.0,61.0,10,255,1,0,0,1,moderate,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.127134385045092
Jamaica Plain,House,Private room,4,1.0,f,1.0,Real Bed,2.0,125.0,0,328,2,50,0,1,strict,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.836281906951478
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,100.0,0,316,1,0,0,1,flexible,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.61512051684126
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,27.0,5,0,1,0,0,1,flexible,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.332204510175204
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,80.0,0,0,1,0,0,2,flexible,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.394449154672439
Jamaica Plain,House,Private room,2,1.0,f,1.0,Real Bed,1.0,85.0,0,365,1,0,0,1,flexible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.454347296253507
Jamaica Plain,House,Private room,3,1.0,f,1.0,Real Bed,2.0,75.0,0,358,1,25,0,1,flexible,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.330733340286331
Jamaica Plain,House,Private room,1,1.0,f,1.0,Real Bed,1.0,57.0,0,341,1,0,0,7,flexible,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.060443010546419
Jamaica Plain,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,100.0,0,0,1,0,0,1,moderate,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.61512051684126
Jamaica Plain,Apartment,Private room,1,1.0,f,1.0,Real Bed,1.0,40.0,5,309,1,0,0,1,flexible,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.713572066704308
Jamaica Plain,House,Private room,1,1.0,f,1.0,Real Bed,1.0,100.0,100,279,1,0,0,4,strict,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.61512051684126
Jamaica Plain,House,Private room,2,2.5,f,1.0,Real Bed,1.0,70.0,20,333,1,0,100,1,flexible,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.262679877041316
Jamaica Plain,Apartment,Entire home/apt,3,1.0,f,1.0,Real Bed,1.0,149.0,50,333,1,0,0,7,flexible,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.010635294096256
